,Name,Subject(s),No. of Items,Description,Provider(s)
0,19th-Century American Sheet Music at UNC Chapel Hill Music Library,"19th-century, American",3500,"Approximately 3,500 popular vocal and instrumental titles from the 1830s to the end of the century. Contains catalog descriptions and digital images of the individual pieces.",University of North Carolina at Chapel Hill
1,19th-Century California Sheet Music,"19th-century, Californian, colour",2700,"Sheet music published in California between 1852 and 1900, along with related materials such as a San Francisco publisher's catalog of 1872, programs, songsheets, advertisements, and photographs. Images of every printed page of sheet music from eleven locations have been scanned at 400 dpi, in color where indicated.","University of California, Berkeley"
2,African American Sheet Music,"19th-century, 20th-century, African-American, Broadway, colour, lithographs, movie music, popular music, World Wars, Yiddish-American",250000,"Sheet music, primarily vocal music of American imprint, dating from the 18th century to the present, with most titles in the period 1840–1950.",John Hay Library at Brown University
3,ART SONG CENTRAL,"downloadable, IPA transcriptions, vocal",1000,"Printable sheet music primarily for singers and voice teachers—most downloadable. Emphasis on standard classical and traditional repertoire. IPA transcriptions available for every German, French, Italian and Latin song in the index. Supplementary information on more than 250 songs.",ART SONG CENTRAL
4,The Ashford Sheet Music Collection,"American, Washington",1000,Largely from and about Washington State and the Pacific Northwest.,University of Washington
5,Bach digital,Johann Sebastian Bach,,Johann Sebastian Bach's autograph manuscripts and original parts. Advanced search options. High-resolution scans. Also contains Bach's copies of works by other composers. Comprises at least 90% of extant Bach manuscripts worldwide. Funding provided by the Deutsche Forschungsgemeinschaft and others.,"Berlin State Library – Prussian Cultural Heritage, Saxon State and University Library Dresden, Leipzig Bach-Archiv, Leipzig University Computing Center"
6,Beethoven-Haus Bonn Digital Archives,"audio, Beethoven, colour, first editions, letters, pictures",15300,"Links more than 6,100 documents on 37,300 coloured high-quality scans, 1,600 audio files (including music examples and audio letters), and 7,600 text files.",Beethoven-Haus Bonn Digital Archives
7,Biblioteca Digital Hispanica,"Spanish, JPEG",,Downloadable color images.,Biblioteca Nacional de España
8,Biblioteca Nacional Digital Brasil,"19th-century, Brasil, sheet music",,Sheet music in the Brazilian National Digital Library.,Brazilian National Digital Library
9,Bodleian Library Broadside Ballads,"Britain, broadside ballads",30000,Printed materials range from the 16th to the 20th Century.,University of Oxford
10,Brahms-Institut,Johannes Brahms,20000,"RGB tiff images with a resolution of 1,200 dpi (photos) or 400 dpi (autographs, letters, prints, etc.).",Brahms-Institut
11,The Cantigas de Santa Maria: Facsimiles,"black and white, medieval, monophonic",,"Medieval-era manuscripts written during the reign of Alfonso X ""El Sabio"" (1221–1284). One of the largest collections of monophonic (solo) songs from the Middle Ages. The To Codex contains roughly the first 100 cantigas, the E Codex all of the cantigas. Illuminations may be found in the E Codex with every 10th cantiga.",Greg Lindahl
12,The Cello Music Collection of the University of North Carolina at Greensboro,"violoncello, cello, manuscript",,"The largest single holding of cello music–related materials in the world, including annotated sheet music (manuscript and published), monographs, serials, audio/video recordings, personal papers, and artifacts associated with noted cellists.","Martha Blakeney Hodges Special Collections and University Archives, UNCG"
13,Charles H. Templeton Sheet Music Collection,"19th-century, 20th-century, American, blues, foxtrots, Irving Berlin, minstrel songs, movie music, popular music, rags, show tunes, war songs",5000,Sheet music for popular tunes dating as far back as 1865. Items are scanned at 600 dpi and saved as a TIFF files.,Mississippi State University
14,"CHASE research project, University of Leeds, UK",19th- and early 20th-century performing editions of string music,2000,"AHRC-funded research project containing music files viewable on-site or as downloads. Most of the music consists of chamber music and concertos for string instruments, edited and annotated by such players as Ferdinand David, Friedrich Grützmacher, and Joseph Joachim.",University of Leeds Cardiff University
15,Chopin's First Editions Online,"early editions, Frédéric Chopin",,All of the first impressions of Chopin's first editions.,Centre for Computing in the Humanities
16,Chopin Online Catalog,"early editions, Frédéric Chopin",85,"Scores of early printed editions of Chopin's music works published before 1881, of which 74 are works with opus number and 11 are without.",University of Chicago Library
17,Classical Music Score Digitization Project (CMSDP),"Common practice period, classical",,"Publicly editable library of public domain music in standardized, machine-parsable formats such as MusicXML, MuseScore, Sibelius, and Finale. Largest public, centralized repository of fully digitized CPP scores.",Classical Music Score Digitization Project
18,"The Classical String Quartet, 1770–1840",string quartet,,Rare and unusual publications of music for string quartet.,Duke University
19,Codices Electronici Sangallenses (CESG) – Virtual Library,"colour, medieval",383,Manuscripts from the medieval codices in the Abbey library of St. Gallen. Downloadable colour PDFs and XML files.,Abbey library of St. Gallen
20,The Computerized Mensural Music Editing Project,"early music, xml score data",,High-quality early music scores. Online corpus of electronic editions and associated software tools.,Utrecht University
21,Digital Image Archive of Medieval Music (DIAMM),"colour, manuscripts, medieval, polyphonic",,"Images of medieval polyphonic music manuscripts from approximately 800 to 1600. Includes detailed information for all known sources of European polyphonic music (almost entirely vocal), high-resolution colour TIFF images, and links to external images available at other sites.",University of Oxford
